q4;q8;q13;q14;q15;q17;q23;cNotas
f;g;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
f;e;a;a;a;b;b;media                                                                                                                                                                                                                                                          
d;e;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;e;a;e;a;b;b;ruim                                                                                                                                                                                                                                                           
e;f;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;d;a;a;a;b;d;media                                                                                                                                                                                                                                                          
f;f;a;e;a;b;c;media                                                                                                                                                                                                                                                          
e;f;a;e;a;f;e;media                                                                                                                                                                                                                                                          
d;c;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;b;b;a;a;b;d;media                                                                                                                                                                                                                                                          
f;g;a;a;a;b;c;media                                                                                                                                                                                                                                                          
f;f;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;d;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;f;a;a;a;b;b;media                                                                                                                                                                                                                                                          
a;e;a;a;a;b;e;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
f;e;b;a;a;b;d;ruim                                                                                                                                                                                                                                                           
d;c;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;b;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;g;a;f;a;b;d;ruim                                                                                                                                                                                                                                                           
e;f;f;e;a;b;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;b;c;media                                                                                                                                                                                                                                                          
d;c;a;a;a;b;e;media                                                                                                                                                                                                                                                          
e;d;a;a;a;b;e;ruim                                                                                                                                                                                                                                                           
e;b;a;a;a;b;c;media                                                                                                                                                                                                                                                          
f;g;a;a;a;b;d;media                                                                                                                                                                                                                                                          
e;e;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;g;a;a;a;b;d;media                                                                                                                                                                                                                                                          
d;e;b;a;a;b;c;media                                                                                                                                                                                                                                                          
f;f;a;a;a;b;e;media                                                                                                                                                                                                                                                          
d;e;d;a;a;b;c;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;b;media                                                                                                                                                                                                                                                          
f;f;a;a;a;b;e;ruim                                                                                                                                                                                                                                                           
c;c;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;e;a;a;a;b;b;media                                                                                                                                                                                                                                                          
d;g;a;e;a;b;b;media                                                                                                                                                                                                                                                          
