q4;q8;q13;q14;q15;q17;q23;cNotas
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;f;a;d;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;a;d;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
c;c;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;c;a;a;a;c;ruim                                                                                                                                                                                                                                                           
a;a;a;a;e;a;b;media                                                                                                                                                                                                                                                          
b;a;b;a;a;a;d;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
a;a;f;a;a;a;e;ruim                                                                                                                                                                                                                                                           
c;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
a;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;a;a;a;d;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;e;ruim                                                                                                                                                                                                                                                           
c;a;a;a;a;a;a;pessima                                                                                                                                                                                                                                                        
b;a;a;a;a;a;e;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
d;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
a;a;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
f;f;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;d;f;a;a;a;b;media                                                                                                                                                                                                                                                          
e;a;a;a;a;a;d;ruim                                                                                                                                                                                                                                                           
b;b;f;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;e;c;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
d;a;a;a;d;a;b;ruim                                                                                                                                                                                                                                                           
c;a;a;a;a;a;c;alta                                                                                                                                                                                                                                                           
d;e;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;a;f;a;a;a;c;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;d;ruim                                                                                                                                                                                                                                                           
b;b;c;a;a;a;c;ruim                                                                                                                                                                                                                                                           
d;f;b;a;a;b;d;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
c;a;a;a;d;a;b;ruim                                                                                                                                                                                                                                                           
a;b;f;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;d;d;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;e;a;d;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;d;e;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;a;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
a;c;a;a;a;d;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
e;d;a;a;a;b;c;media                                                                                                                                                                                                                                                          
b;c;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;e;a;a;a;a;b;pessima                                                                                                                                                                                                                                                        
a;c;a;a;a;a;d;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;pessima                                                                                                                                                                                                                                                        
b;c;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;d;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;c;a;a;f;b;b;media                                                                                                                                                                                                                                                          
e;c;a;a;d;b;c;ruim                                                                                                                                                                                                                                                           
b;c;a;a;a;d;d;media                                                                                                                                                                                                                                                          
d;b;a;a;f;b;b;ruim                                                                                                                                                                                                                                                           
b;c;a;a;a;a;d;media                                                                                                                                                                                                                                                          
b;c;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
b;d;a;a;a;b;b;media                                                                                                                                                                                                                                                          
a;a;a;a;d;a;a;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;b;b;media                                                                                                                                                                                                                                                          
a;d;a;a;f;a;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;f;a;e;pessima                                                                                                                                                                                                                                                        
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
a;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;b;a;a;a;b;e;media                                                                                                                                                                                                                                                          
c;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
a;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;f;a;e;media                                                                                                                                                                                                                                                          
a;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;a;a;a;c;a;b;ruim                                                                                                                                                                                                                                                           
d;c;d;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;f;a;a;a;b;ruim                                                                                                                                                                                                                                                           
c;a;f;a;a;b;d;ruim                                                                                                                                                                                                                                                           
d;c;c;f;a;b;b;ruim                                                                                                                                                                                                                                                           
e;d;a;a;a;a;a;ruim                                                                                                                                                                                                                                                           
b;f;d;a;a;a;e;media                                                                                                                                                                                                                                                          
b;b;f;a;a;b;b;ruim                                                                                                                                                                                                                                                           
b;b;f;a;a;b;b;ruim                                                                                                                                                                                                                                                           
a;a;c;a;a;a;b;pessima                                                                                                                                                                                                                                                        
d;c;a;a;a;b;b;media                                                                                                                                                                                                                                                          
c;c;d;a;a;b;b;media                                                                                                                                                                                                                                                          
e;b;c;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;a;b;a;a;b;c;media                                                                                                                                                                                                                                                          
d;a;d;f;a;b;c;media                                                                                                                                                                                                                                                          
c;a;d;a;a;b;b;media                                                                                                                                                                                                                                                          
d;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
c;a;a;a;a;a;c;pessima                                                                                                                                                                                                                                                        
e;f;d;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;b;b;a;a;b;d;media                                                                                                                                                                                                                                                          
e;e;b;a;a;b;b;ruim                                                                                                                                                                                                                                                           
b;a;b;a;a;a;d;media                                                                                                                                                                                                                                                          
b;b;f;a;a;a;c;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;d;b;media                                                                                                                                                                                                                                                          
b;a;d;a;b;a;c;media                                                                                                                                                                                                                                                          
a;a;b;a;a;a;c;pessima                                                                                                                                                                                                                                                        
b;a;b;a;a;a;c;media                                                                                                                                                                                                                                                          
b;b;b;a;a;a;c;ruim                                                                                                                                                                                                                                                           
d;e;d;f;a;b;c;ruim                                                                                                                                                                                                                                                           
d;f;a;a;a;b;c;media                                                                                                                                                                                                                                                          
b;a;b;a;a;a;b;media                                                                                                                                                                                                                                                          
d;d;a;a;a;a;e;media                                                                                                                                                                                                                                                          
d;c;d;a;a;b;e;media                                                                                                                                                                                                                                                          
d;b;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;f;a;a;a;e;b;ruim                                                                                                                                                                                                                                                           
d;c;a;a;a;b;c;media                                                                                                                                                                                                                                                          
b;a;a;a;a;b;b;media                                                                                                                                                                                                                                                          
b;b;f;a;a;a;c;media                                                                                                                                                                                                                                                          
c;b;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
a;a;b;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;f;a;a;a;b;ruim                                                                                                                                                                                                                                                           
c;b;d;a;a;a;c;media                                                                                                                                                                                                                                                          
d;f;f;a;a;e;c;ruim                                                                                                                                                                                                                                                           
a;a;b;a;a;a;b;ruim                                                                                                                                                                                                                                                           
e;d;c;a;a;b;d;media                                                                                                                                                                                                                                                          
d;b;a;a;a;d;c;ruim                                                                                                                                                                                                                                                           
d;c;b;a;a;b;b;media                                                                                                                                                                                                                                                          
d;b;d;a;a;b;c;media                                                                                                                                                                                                                                                          
b;d;d;a;a;b;c;media                                                                                                                                                                                                                                                          
b;a;b;a;a;a;e;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;a;f;a;a;a;c;media                                                                                                                                                                                                                                                          
d;a;b;a;a;e;c;media                                                                                                                                                                                                                                                          
d;b;f;a;a;a;b;media                                                                                                                                                                                                                                                          
d;d;d;a;a;b;e;media                                                                                                                                                                                                                                                          
a;a;b;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;e;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;e;b;media                                                                                                                                                                                                                                                          
b;c;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
c;a;c;a;a;a;d;ruim                                                                                                                                                                                                                                                           
a;a;c;a;a;a;d;media                                                                                                                                                                                                                                                          
b;b;c;a;a;a;c;media                                                                                                                                                                                                                                                          
f;d;c;a;a;b;d;ruim                                                                                                                                                                                                                                                           
b;a;f;a;d;a;c;media                                                                                                                                                                                                                                                          
d;b;f;a;a;d;b;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;e;b;alta                                                                                                                                                                                                                                                           
b;a;f;a;a;a;b;media                                                                                                                                                                                                                                                          
d;f;c;a;a;b;c;media                                                                                                                                                                                                                                                          
d;b;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;b;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
c;a;f;a;a;a;c;media                                                                                                                                                                                                                                                          
e;a;f;a;a;a;c;media                                                                                                                                                                                                                                                          
e;e;b;a;a;b;b;media                                                                                                                                                                                                                                                          
